Intron File Name,Time in Minutes,Nucleus Index,Nucleus Centroid X,Nucleus Centroid Y,Nucleus Major Axis Length,Nucleus Major Axis Angle,Total Marker Object Count,Marker Object Index,Marker Centroid X,Marker Centroid Y,Marker Distance to Nucleus Centroid,Marker Distance to Nucleus Boundary,Marker Angle from Nucleus Major Axis
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,1,210.926602,615.483152,125.717938,58.133168,3,1,170.923077,595.461538,44.734182,9.083881,148.454624
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,1,210.926602,615.483152,125.717938,58.133168,3,2,196.882353,641.058824,29.178004,13.780541,60.639136
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,1,210.926602,615.483152,125.717938,58.133168,3,3,223.571429,638.000000,25.824409,36.926231,2.549495
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,2,332.831795,512.462929,131.034347,-79.873915,2,1,307.500000,466.800000,52.218798,5.410326,320.854319
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,2,332.831795,512.462929,131.034347,-79.873915,2,2,351.538462,463.384615,52.522569,10.002173,10.738737
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,3,373.757625,374.527126,133.843192,29.101860,1,1,346.523810,348.761905,37.490363,29.904588,194.310891
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,4,415.825249,709.846791,111.610931,12.559991,4,1,368.600000,710.500000,47.229766,7.607610,166.647557
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,4,415.825249,709.846791,111.610931,12.559991,4,2,410.315789,734.684211,25.441139,13.719458,89.946904
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,4,415.825249,709.846791,111.610931,12.559991,4,3,425.833333,741.666667,33.356652,7.645767,59.980445
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,4,415.825249,709.846791,111.610931,12.559991,4,4,461.280000,710.560000,45.460346,9.726455,348.338936
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,5,426.448864,266.491302,124.843903,49.607487,3,1,386.315789,230.105263,54.172018,7.367623,172.589056
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,5,426.448864,266.491302,124.843903,49.607487,3,2,402.200000,233.500000,40.944272,21.918984,184.076336
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,5,426.448864,266.491302,124.843903,49.607487,3,3,443.550000,236.850000,34.220690,11.255861,250.374710
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,6,435.798053,472.459469,92.784697,30.808552,2,1,423.736842,441.842105,32.907382,8.300787,217.690297
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,6,435.798053,472.459469,92.784697,30.808552,2,2,462.619048,451.000000,34.349302,4.514862,290.528157
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,7,462.332668,619.611120,102.215459,30.902151,4,1,423.666667,599.750000,43.468652,8.533281,176.285533
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,7,462.332668,619.611120,102.215459,30.902151,4,2,423.800000,627.500000,39.331933,6.962795,137.527445
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,7,462.332668,619.611120,102.215459,30.902151,4,3,447.066667,646.066667,30.544177,6.673108,89.084665
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,7,462.332668,619.611120,102.215459,30.902151,4,4,483.272727,654.136364,40.379185,9.175120,27.860432
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,8,519.683195,541.781918,95.900991,78.555972,3,1,504.588235,539.588235,15.253526,29.941411,109.712681
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,8,519.683195,541.781918,95.900991,78.555972,3,2,536.607143,526.821429,22.588410,22.099084,239.967880
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,8,519.683195,541.781918,95.900991,78.555972,3,3,549.187500,536.375000,29.995646,13.030744,271.059313
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,10,765.122986,788.060241,166.300932,-3.156264,2,1,829.722222,783.666667,64.748473,19.347186,359.265410
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_1_R3D_D3D_PRJ_w676.tif,60,10,765.122986,788.060241,166.300932,-3.156264,2,2,835.090909,804.636364,71.904646,5.091472,16.484495
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,1,196.025701,717.466533,133.958949,29.818100,2,1,143.846154,695.884615,56.466665,9.659581,172.652315
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,1,196.025701,717.466533,133.958949,29.818100,2,2,148.842105,680.263158,60.086461,5.037747,188.437012
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,2,321.760980,579.797088,112.111552,-2.486101,3,1,298.830189,612.849057,40.227526,8.628857,127.238237
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,2,321.760980,579.797088,112.111552,-2.486101,3,2,308.500000,558.833333,24.805898,24.824199,240.170005
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,2,321.760980,579.797088,112.111552,-2.486101,3,3,323.782609,536.173913,43.669994,3.180627,275.139461
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,3,431.358153,690.929041,114.070154,2.214839,2,1,450.615385,694.615385,19.606889,38.106757,8.621989
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_2_R3D_D3D_PRJ_w676.tif,60,3,431.358153,690.929041,114.070154,2.214839,2,2,458.037037,668.740741,34.699907,10.432642,318.035533
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_3_R3D_D3D_PRJ_w676.tif,60,1,184.162815,463.514220,87.931792,-16.901572,1,1,192.179487,435.410256,29.224985,11.748398,302.822401
/home/bl6/Mancini/Data/MCF-7 time course/20151026_1hr_Greb_EI_3_R3D_D3D_PRJ_w676.tif,60,2,254.482364,398.183010,92.086915,34.324920,2,1,238.592593,389.407407,18.152026,25.775326,174.586072
